okay,yes
tell,mm
tell,look
tell,going
tell,deep,
tell,*laughter*
tell,um,
tell,oh
tell,guess
tell,hardest
tell,decision
tell,coming
tell,mom
tell,uh,
tell,telling
tell,gay,
tell,mean
tell,hard
tell,'cause
tell,right
tell,one
tell,hard
tell,mom
tell,conservative
tell,she,
tell,trouble
tell,accepting
tell,took
tell,awhile
tell,know
tell,everything
tell,better
tell,knew
tell,would
tell,be,
tell,hard
tell,moment
tell,to,
tell,know
tell,tell
tell,something
tell,wanna
tell,hear
hardest,ooh
hardest,*sigh*
hardest,mm
hardest,look
hardest,going
hardest,deep,
hardest,*laughter*
hardest,um,
hardest,oh
hardest,guess
hardest,hardest
hardest,decision
hardest,coming
hardest,mom
hardest,uh,
hardest,telling
hardest,gay,
hardest,mean
hardest,hard
hardest,'cause
hardest,right
hardest,one
hardest,hard
hardest,mom
hardest,conservative
hardest,she,
hardest,trouble
hardest,accepting
hardest,took
hardest,awhile
hardest,know
hardest,everything
hardest,better
hardest,knew
hardest,would
hardest,be,
hardest,hard
hardest,moment
hardest,to,
hardest,know
hardest,tell
hardest,something
hardest,wanna
hardest,hear
decision,ooh
decision,*sigh*
decision,mm
decision,look
decision,going
decision,deep,
decision,*laughter*
decision,um,
decision,oh
decision,guess
decision,hardest
decision,decision
decision,coming
decision,mom
decision,uh,
decision,telling
decision,gay,
decision,mean
decision,hard
decision,'cause
decision,right
decision,one
decision,hard
decision,mom
decision,conservative
decision,she,
decision,trouble
decision,accepting
decision,took
decision,awhile
decision,know
decision,everything
decision,better
decision,knew
decision,would
decision,be,
decision,hard
decision,moment
decision,to,
decision,know
decision,tell
decision,something
decision,wanna
decision,hear
ever,ooh
ever,*sigh*
ever,mm
ever,look
ever,going
ever,deep,
ever,*laughter*
ever,um,
ever,oh
ever,guess
ever,hardest
ever,decision
ever,coming
ever,mom
ever,uh,
ever,telling
ever,gay,
ever,mean
ever,hard
ever,'cause
ever,right
ever,one
ever,hard
ever,mom
ever,conservative
ever,she,
ever,trouble
ever,accepting
ever,took
ever,awhile
ever,know
ever,everything
ever,better
ever,knew
ever,would
ever,be,
ever,hard
ever,moment
ever,to,
ever,know
ever,tell
ever,something
ever,wanna
ever,hear
make,ooh
make,*sigh*
make,mm
make,look
make,going
make,deep,
make,*laughter*
make,um,
make,oh
make,guess
make,hardest
make,decision
make,coming
make,mom
make,uh,
make,telling
make,gay,
make,mean
make,hard
make,'cause
make,right
make,one
make,hard
make,mom
make,conservative
make,she,
make,trouble
make,accepting
make,took
make,awhile
make,know
make,everything
make,better
make,knew
make,would
make,be,
make,hard
make,moment
make,to,
make,know
make,tell
make,something
make,wanna
make,hear
ooh,okay
*sigh*,okay
mm,okay
look,okay
going,okay
deep,,okay
*laughter*,okay
um,,okay
oh,okay
guess,okay
hardest,okay
decision,okay
coming,okay
mom,okay
uh,,okay
telling,okay
gay,,okay
mean,okay
hard,okay
'cause,okay
right,okay
one,okay
hard,okay
mom,okay
conservative,okay
she,,okay
trouble,okay
accepting,okay
took,okay
awhile,okay
know,okay
everything,okay
better,okay
knew,okay
would,okay
be,,okay
hard,okay
moment,okay
to,,okay
know,okay
tell,okay
something,okay
wanna,okay
hear,okay
okay,okay
okay,tell
okay,event
okay,something
okay,wish
okay,could
okay,erase
okay,memory
tell,um,
tell,little
tell,kid
tell,um,
tell,grandfather
tell,found
tell,dog
tell,run
tell,road,
tell,uh,
tell,,
tell,brought
tell,think
tell,remember
tell,kid
tell,just,
tell,uh
tell,like
tell,seeing
tell,death
tell,like
tell,really
tell,just,
tell,threw
tell,and,
tell,uh
tell,frightened
tell,and,
tell,uh
tell,one
tell,moment
tell,guess
tell,wish
tell,grandmother
tell,destroyed
tell,sad,
tell,uh,
tell,one
tell,moment
tell,guess
tell,need
tell,kid
tell,really
tell,wanna
tell,experience
tell,like
tell,loss
tell,like
tell,face
event,um,
event,little
event,kid
event,um,
event,grandfather
event,found
event,dog
event,run
event,road,
event,uh,
event,,
event,brought
event,think
event,remember
event,kid
event,just,
event,uh
event,like
event,seeing
event,death
event,like
event,really
event,just,
event,threw
event,and,
event,uh
event,frightened
event,and,
event,uh
event,one
event,moment
event,guess
event,wish
event,grandmother
event,destroyed
event,sad,
event,uh,
event,one
event,moment
event,guess
event,need
event,kid
event,really
event,wanna
event,experience
event,like
event,loss
event,like
event,face
something,um,
something,little
something,kid
something,um,
something,grandfather
something,found
something,dog
something,run
something,road,
something,uh,
something,,
something,brought
something,think
something,remember
something,kid
something,just,
something,uh
something,like
something,seeing
something,death
something,like
something,really
something,just,
something,threw
something,and,
something,uh
something,frightened
something,and,
something,uh
something,one
something,moment
something,guess
something,wish
something,grandmother
something,destroyed
something,sad,
something,uh,
something,one
something,moment
something,guess
something,need
something,kid
something,really
something,wanna
something,experience
something,like
something,loss
something,like
something,face
wish,um,
wish,little
wish,kid
wish,um,
wish,grandfather
wish,found
wish,dog
wish,run
wish,road,
wish,uh,
wish,,
wish,brought
wish,think
wish,remember
wish,kid
wish,just,
wish,uh
wish,like
wish,seeing
wish,death
wish,like
wish,really
wish,just,
wish,threw
wish,and,
wish,uh
wish,frightened
wish,and,
wish,uh
wish,one
wish,moment
wish,guess
wish,wish
wish,grandmother
wish,destroyed
wish,sad,
wish,uh,
wish,one
wish,moment
wish,guess
wish,need
wish,kid
wish,really
wish,wanna
wish,experience
wish,like
wish,loss
wish,like
wish,face
could,um,
could,little
could,kid
could,um,
could,grandfather
could,found
could,dog
could,run
could,road,
could,uh,
could,,
could,brought
could,think
could,remember
could,kid
could,just,
could,uh
could,like
could,seeing
could,death
could,like
could,really
could,just,
could,threw
could,and,
could,uh
could,frightened
could,and,
could,uh
could,one
could,moment
could,guess
could,wish
could,grandmother
could,destroyed
could,sad,
could,uh,
could,one
could,moment
could,guess
could,need
could,kid
could,really
could,wanna
could,experience
could,like
could,loss
could,like
could,face
erase,um,
erase,little
erase,kid
erase,um,
erase,grandfather
erase,found
erase,dog
erase,run
erase,road,
erase,uh,
erase,,
erase,brought
erase,think
erase,remember
erase,kid
erase,just,
erase,uh
erase,like
erase,seeing
erase,death
erase,like
erase,really
erase,just,
erase,threw
erase,and,
erase,uh
erase,frightened
erase,and,
erase,uh
erase,one
erase,moment
erase,guess
erase,wish
erase,grandmother
erase,destroyed
erase,sad,
erase,uh,
erase,one
erase,moment
erase,guess
erase,need
erase,kid
erase,really
erase,wanna
erase,experience
erase,like
erase,loss
erase,like
erase,face
memory,um,
memory,little
memory,kid
memory,um,
memory,grandfather
memory,found
memory,dog
memory,run
memory,road,
memory,uh,
memory,,
memory,brought
memory,think
memory,remember
memory,kid
memory,just,
memory,uh
memory,like
memory,seeing
memory,death
memory,like
memory,really
memory,just,
memory,threw
memory,and,
memory,uh
memory,frightened
memory,and,
memory,uh
memory,one
memory,moment
memory,guess
memory,wish
memory,grandmother
memory,destroyed
memory,sad,
memory,uh,
memory,one
memory,moment
memory,guess
memory,need
memory,kid
memory,really
memory,wanna
memory,experience
memory,like
memory,loss
memory,like
memory,face
um,,yeah
little,yeah
kid,yeah
um,,yeah
grandfather,yeah
found,yeah
dog,yeah
run,yeah
road,,yeah
uh,,yeah
,,yeah
brought,yeah
think,yeah
remember,yeah
kid,yeah
just,,yeah
uh,yeah
like,yeah
seeing,yeah
death,yeah
like,yeah
really,yeah
just,,yeah
threw,yeah
and,,yeah
uh,yeah
frightened,yeah
and,,yeah
uh,yeah
one,yeah
moment,yeah
guess,yeah
wish,yeah
grandmother,yeah
destroyed,yeah
sad,,yeah
uh,,yeah
one,yeah
moment,yeah
guess,yeah
need,yeah
kid,yeah
really,yeah
wanna,yeah
experience,yeah
like,yeah
loss,yeah
like,yeah
face,yeah
yeah,yeah
yeah,tell
yeah,relationship
yeah,family
tell,relationship
tell,family
tell,pretty
tell,good
tell,um,
tell,we're
tell,probably
tell,close
tell,uh
tell,we,
tell,know
tell,always,
tell,talk
tell,often
tell,talk
tell,love
tell,we,
tell,always
tell,love
tell,see
relationship,relationship
relationship,family
relationship,pretty
relationship,good
relationship,um,
relationship,we're
relationship,probably
relationship,close
relationship,uh
relationship,we,
relationship,know
relationship,always,
relationship,talk
relationship,often
relationship,talk
relationship,love
relationship,we,
relationship,always
relationship,love
relationship,see
family,relationship
family,family
family,pretty
family,good
family,um,
family,we're
family,probably
family,close
family,uh
family,we,
family,know
family,always,
family,talk
family,often
family,talk
family,love
family,we,
family,always
family,love
family,see
relationship,who's
relationship,someone
relationship,that's
relationship,positive
relationship,influence
relationship,life
family,who's
family,someone
family,that's
family,positive
family,influence
family,life
pretty,who's
pretty,someone
pretty,that's
pretty,positive
pretty,influence
pretty,life
good,who's
good,someone
good,that's
good,positive
good,influence
good,life
um,,who's
um,,someone
um,,that's
um,,positive
um,,influence
um,,life
we're,who's
we're,someone
we're,that's
we're,positive
we're,influence
we're,life
probably,who's
probably,someone
probably,that's
probably,positive
probably,influence
probably,life
close,who's
close,someone
close,that's
close,positive
close,influence
close,life
uh,who's
uh,someone
uh,that's
uh,positive
uh,influence
uh,life
we,,who's
we,,someone
we,,that's
we,,positive
we,,influence
we,,life
know,who's
know,someone
know,that's
know,positive
know,influence
know,life
always,,who's
always,,someone
always,,that's
always,,positive
always,,influence
always,,life
talk,who's
talk,someone
talk,that's
talk,positive
talk,influence
talk,life
often,who's
often,someone
often,that's
often,positive
often,influence
often,life
talk,who's
talk,someone
talk,that's
talk,positive
talk,influence
talk,life
love,who's
love,someone
love,that's
love,positive
love,influence
love,life
we,,who's
we,,someone
we,,that's
we,,positive
we,,influence
we,,life
always,who's
always,someone
always,that's
always,positive
always,influence
always,life
love,who's
love,someone
love,that's
love,positive
love,influence
love,life
see,who's
see,someone
see,that's
see,positive
see,influence
see,life
who's,um,
who's,grandmother
who's,positive
who's,always
who's,encouraging
who's,told
who's,me,
who's,uh
who's,know
who's,pursue
who's,dream
who's,and,
who's,let
who's,little
who's,thing
who's,get
who's,i'm
who's,glad
someone,um,
someone,grandmother
someone,positive
someone,always
someone,encouraging
someone,told
someone,me,
someone,uh
someone,know
someone,pursue
someone,dream
someone,and,
someone,let
someone,little
someone,thing
someone,get
someone,i'm
someone,glad
that's,um,
that's,grandmother
that's,positive
that's,always
that's,encouraging
that's,told
that's,me,
that's,uh
that's,know
that's,pursue
that's,dream
that's,and,
that's,let
that's,little
that's,thing
that's,get
that's,i'm
that's,glad
positive,um,
positive,grandmother
positive,positive
positive,always
positive,encouraging
positive,told
positive,me,
positive,uh
positive,know
positive,pursue
positive,dream
positive,and,
positive,let
positive,little
positive,thing
positive,get
positive,i'm
positive,glad
influence,um,
influence,grandmother
influence,positive
influence,always
influence,encouraging
influence,told
influence,me,
influence,uh
influence,know
influence,pursue
influence,dream
influence,and,
influence,let
influence,little
influence,thing
influence,get
influence,i'm
influence,glad
life,um,
life,grandmother
life,positive
life,always
life,encouraging
life,told
life,me,
life,uh
life,know
life,pursue
life,dream
life,and,
life,let
life,little
life,thing
life,get
life,i'm
life,glad
um,,easy
um,,get
um,,good
um,,night's
um,,sleep
grandmother,easy
grandmother,get
grandmother,good
grandmother,night's
grandmother,sleep
positive,easy
positive,get
positive,good
positive,night's
positive,sleep
always,easy
always,get
always,good
always,night's
always,sleep
encouraging,easy
encouraging,get
encouraging,good
encouraging,night's
encouraging,sleep
told,easy
told,get
told,good
told,night's
told,sleep
me,,easy
me,,get
me,,good
me,,night's
me,,sleep
uh,easy
uh,get
uh,good
uh,night's
uh,sleep
know,easy
know,get
know,good
know,night's
know,sleep
pursue,easy
pursue,get
pursue,good
pursue,night's
pursue,sleep
dream,easy
dream,get
dream,good
dream,night's
dream,sleep
and,,easy
and,,get
and,,good
and,,night's
and,,sleep
let,easy
let,get
let,good
let,night's
let,sleep
little,easy
little,get
little,good
little,night's
little,sleep
thing,easy
thing,get
thing,good
thing,night's
thing,sleep
get,easy
get,get
get,good
get,night's
get,sleep
i'm,easy
i'm,get
i'm,good
i'm,night's
i'm,sleep
glad,easy
glad,get
glad,good
glad,night's
glad,sleep
easy,usually
easy,easy
easy,um
easy,sometimes
get,usually
get,easy
get,um
get,sometimes
good,usually
good,easy
good,um
good,sometimes
night's,usually
night's,easy
night's,um
night's,sometimes
sleep,usually
sleep,easy
sleep,um
sleep,sometimes
usually,tell
easy,tell
um,tell
sometimes,tell
tell,um,
tell,well
tell,i've
tell,job
tell,recently
tell,start
tell,new
tell,job
tell,uh
tell,next
tell,week,
tell,but,
tell,i've
tell,uh
tell,working
tell,um
tell,tend
tell,like,
tell,body
tell,want
tell,stay
tell,later
tell,later
tell,later
tell,i'm
tell,trying
tell,like,
tell,fall
tell,pattern
tell,going
tell,sleep
tell,like
tell,two
tell,three
tell,getting
tell,like
tell,eleven,
tell,keep
tell,trying
tell,make
tell,go
tell,sleep
tell,like
tell,midnight
tell,twelve
tell,thirty,
tell,end
tell,laying
tell,bed
tell,like
tell,hour
tell,hour
tell,half,
tell,be,
tell,able
tell,go
tell,sleep
tell,get
tell,like
tell,nine
tell,but,
tell,still
tell,wanna
tell,stay
tell,guess
um,,like
um,,sleep
um,,well
well,like
well,sleep
well,well
i've,like
i've,sleep
i've,well
job,like
job,sleep
job,well
recently,like
recently,sleep
recently,well
start,like
start,sleep
start,well
new,like
new,sleep
new,well
job,like
job,sleep
job,well
uh,like
uh,sleep
uh,well
next,like
next,sleep
next,well
week,,like
week,,sleep
week,,well
but,,like
but,,sleep
but,,well
i've,like
i've,sleep
i've,well
uh,like
uh,sleep
uh,well
working,like
working,sleep
working,well
um,like
um,sleep
um,well
tend,like
tend,sleep
tend,well
like,,like
like,,sleep
like,,well
body,like
body,sleep
body,well
want,like
want,sleep
want,well
stay,like
stay,sleep
stay,well
later,like
later,sleep
later,well
later,like
later,sleep
later,well
later,like
later,sleep
later,well
i'm,like
i'm,sleep
i'm,well
trying,like
trying,sleep
trying,well
like,,like
like,,sleep
like,,well
fall,like
fall,sleep
fall,well
pattern,like
pattern,sleep
pattern,well
going,like
going,sleep
going,well
sleep,like
sleep,sleep
sleep,well
like,like
like,sleep
like,well
two,like
two,sleep
two,well
three,like
three,sleep
three,well
getting,like
getting,sleep
getting,well
like,like
like,sleep
like,well
eleven,,like
eleven,,sleep
eleven,,well
keep,like
keep,sleep
keep,well
trying,like
trying,sleep
trying,well
make,like
make,sleep
make,well
go,like
go,sleep
go,well
sleep,like
sleep,sleep
sleep,well
like,like
like,sleep
like,well
midnight,like
midnight,sleep
midnight,well
twelve,like
twelve,sleep
twelve,well
thirty,,like
thirty,,sleep
thirty,,well
end,like
end,sleep
end,well
laying,like
laying,sleep
laying,well
bed,like
bed,sleep
bed,well
like,like
like,sleep
like,well
hour,like
hour,sleep
hour,well
hour,like
hour,sleep
hour,well
half,,like
half,,sleep
half,,well
be,,like
be,,sleep
be,,well
able,like
able,sleep
able,well
go,like
go,sleep
go,well
sleep,like
sleep,sleep
sleep,well
get,like
get,sleep
get,well
like,like
like,sleep
like,well
nine,like
nine,sleep
nine,well
but,,like
but,,sleep
but,,well
still,like
still,sleep
still,well
wanna,like
wanna,sleep
wanna,well
stay,like
stay,sleep
stay,well
guess,like
guess,sleep
guess,well
like,uh
like,little
like,scatterbrained
like,like
like,today
like,i'm
like,little
like,scatterbrained
like,'cause
like,uh,
like,tried
like,go
like,sleep
like,early
like,ended
like,tossing
like,turning
like,and,
like,*sigh*
like,scatterbrained
like,*laughter*
sleep,uh
sleep,little
sleep,scatterbrained
sleep,like
sleep,today
sleep,i'm
sleep,little
sleep,scatterbrained
sleep,'cause
sleep,uh,
sleep,tried
sleep,go
sleep,sleep
sleep,early
sleep,ended
sleep,tossing
sleep,turning
sleep,and,
sleep,*sigh*
sleep,scatterbrained
sleep,*laughter*
well,uh
well,little
well,scatterbrained
well,like
well,today
well,i'm
well,little
well,scatterbrained
well,'cause
well,uh,
well,tried
well,go
well,sleep
well,early
well,ended
well,tossing
well,turning
well,and,
well,*sigh*
well,scatterbrained
well,*laughter*
uh,feeling
uh,lately
little,feeling
little,lately
scatterbrained,feeling
scatterbrained,lately
like,feeling
like,lately
today,feeling
today,lately
i'm,feeling
i'm,lately
little,feeling
little,lately
scatterbrained,feeling
scatterbrained,lately
'cause,feeling
'cause,lately
uh,,feeling
uh,,lately
tried,feeling
tried,lately
go,feeling
go,lately
sleep,feeling
sleep,lately
early,feeling
early,lately
ended,feeling
ended,lately
tossing,feeling
tossing,lately
turning,feeling
turning,lately
and,,feeling
and,,lately
*sigh*,feeling
*sigh*,lately
scatterbrained,feeling
scatterbrained,lately
*laughter*,feeling
*laughter*,lately
feeling,um
feeling,well
feeling,since
feeling,i've
feeling,lot
feeling,time
feeling,hand
feeling,like
feeling,usually
feeling,much
feeling,time
feeling,hand
feeling,sometimes
feeling,frustrating
feeling,because,
feeling,um
feeling,know
feeling,working
feeling,guess
feeling,um,
feeling,but,
feeling,yeah,
feeling,think
feeling,answer
feeling,question
lately,um
lately,well
lately,since
lately,i've
lately,lot
lately,time
lately,hand
lately,like
lately,usually
lately,much
lately,time
lately,hand
lately,sometimes
lately,frustrating
lately,because,
lately,um
lately,know
lately,working
lately,guess
lately,um,
lately,but,
lately,yeah,
lately,think
lately,answer
lately,question
um,noticed
um,change
um,behavior
um,thought
um,lately
well,noticed
well,change
well,behavior
well,thought
well,lately
since,noticed
since,change
since,behavior
since,thought
since,lately
i've,noticed
i've,change
i've,behavior
i've,thought
i've,lately
lot,noticed
lot,change
lot,behavior
lot,thought
lot,lately
time,noticed
time,change
time,behavior
time,thought
time,lately
hand,noticed
hand,change
hand,behavior
hand,thought
hand,lately
like,noticed
like,change
like,behavior
like,thought
like,lately
usually,noticed
usually,change
usually,behavior
usually,thought
usually,lately
much,noticed
much,change
much,behavior
much,thought
much,lately
time,noticed
time,change
time,behavior
time,thought
time,lately
hand,noticed
hand,change
hand,behavior
hand,thought
hand,lately
sometimes,noticed
sometimes,change
sometimes,behavior
sometimes,thought
sometimes,lately
frustrating,noticed
frustrating,change
frustrating,behavior
frustrating,thought
frustrating,lately
because,,noticed
because,,change
because,,behavior
because,,thought
because,,lately
um,noticed
um,change
um,behavior
um,thought
um,lately
know,noticed
know,change
know,behavior
know,thought
know,lately
working,noticed
working,change
working,behavior
working,thought
working,lately
guess,noticed
guess,change
guess,behavior
guess,thought
guess,lately
um,,noticed
um,,change
um,,behavior
um,,thought
um,,lately
but,,noticed
but,,change
but,,behavior
but,,thought
but,,lately
yeah,,noticed
yeah,,change
yeah,,behavior
yeah,,thought
yeah,,lately
think,noticed
think,change
think,behavior
think,thought
think,lately
answer,noticed
answer,change
answer,behavior
answer,thought
answer,lately
question,noticed
question,change
question,behavior
question,thought
question,lately
noticed,um
noticed,maybe
noticed,little
noticed,absent-minded
noticed,usual
noticed,lately
noticed,uh
noticed,working
noticed,thing
change,um
change,maybe
change,little
change,absent-minded
change,usual
change,lately
change,uh
change,working
change,thing
behavior,um
behavior,maybe
behavior,little
behavior,absent-minded
behavior,usual
behavior,lately
behavior,uh
behavior,working
behavior,thing
thought,um
thought,maybe
thought,little
thought,absent-minded
thought,usual
thought,lately
thought,uh
thought,working
thought,thing
lately,um
lately,maybe
lately,little
lately,absent-minded
lately,usual
lately,lately
lately,uh
lately,working
lately,thing
um,ever
um,diagnosed
um,ptsd
maybe,ever
maybe,diagnosed
maybe,ptsd
little,ever
little,diagnosed
little,ptsd
absent-minded,ever
absent-minded,diagnosed
absent-minded,ptsd
usual,ever
usual,diagnosed
usual,ptsd
lately,ever
lately,diagnosed
lately,ptsd
uh,ever
uh,diagnosed
uh,ptsd
working,ever
working,diagnosed
working,ptsd
thing,ever
thing,diagnosed
thing,ptsd
diagnosed,mm
diagnosed,mm
depression,mm
depression,mm
mm,tell
mm,last
mm,time
mm,felt
mm,really
mm,happy
mm,tell
mm,last
mm,time
mm,felt
mm,really
mm,happy
tell,um
tell,couple
tell,day
tell,ago
tell,got
tell,new
tell,job
tell,*laughter*
tell,got
tell,hired
last,um
last,couple
last,day
last,ago
last,got
last,new
last,job
last,*laughter*
last,got
last,hired
time,um
time,couple
time,day
time,ago
time,got
time,new
time,job
time,*laughter*
time,got
time,hired
felt,um
felt,couple
felt,day
felt,ago
felt,got
felt,new
felt,job
felt,*laughter*
felt,got
felt,hired
really,um
really,couple
really,day
really,ago
really,got
really,new
really,job
really,*laughter*
really,got
really,hired
happy,um
happy,couple
happy,day
happy,ago
happy,got
happy,new
happy,job
happy,*laughter*
happy,got
happy,hired
um,would
um,best
um,friend
um,describe
couple,would
couple,best
couple,friend
couple,describe
day,would
day,best
day,friend
day,describe
ago,would
ago,best
ago,friend
ago,describe
got,would
got,best
got,friend
got,describe
new,would
new,best
new,friend
new,describe
job,would
job,best
job,friend
job,describe
*laughter*,would
*laughter*,best
*laughter*,friend
*laughter*,describe
got,would
got,best
got,friend
got,describe
hired,would
hired,best
hired,friend
hired,describe
would,um,
would,outgoing
would,listening,
would,uh
would,attentive,
would,um,
would,fun,
would,loyal
best,um,
best,outgoing
best,listening,
best,uh
best,attentive,
best,um,
best,fun,
best,loyal
friend,um,
friend,outgoing
friend,listening,
friend,uh
friend,attentive,
friend,um,
friend,fun,
friend,loyal
describe,um,
describe,outgoing
describe,listening,
describe,uh
describe,attentive,
describe,um,
describe,fun,
describe,loyal
um,,uh
um,,huh
outgoing,uh
outgoing,huh
listening,,uh
listening,,huh
uh,uh
uh,huh
attentive,,uh
attentive,,huh
um,,uh
um,,huh
fun,,uh
fun,,huh
loyal,uh
loyal,huh
uh,think,
uh,hope
huh,think,
huh,hope
think,,thing
think,,wish
think,,could
think,,change
hope,thing
hope,wish
hope,could
hope,change
thing,um
thing,wish
thing,i,
thing,uh
thing,probably
thing,wish
thing,looked
thing,better
thing,wish
thing,hair
thing,mm
thing,losing
thing,little
thing,bit,
thing,uh
thing,probably
thing,wish
thing,little
thing,skinnier
thing,this,
thing,girdle's
thing,pretty
thing,tight
thing,*laughter*
thing,um,
thing,know
thing,sometimes
thing,wish
thing,money
thing,but,
thing,nothing
thing,drastic,
thing,i'm
thing,okay
wish,um
wish,wish
wish,i,
wish,uh
wish,probably
wish,wish
wish,looked
wish,better
wish,wish
wish,hair
wish,mm
wish,losing
wish,little
wish,bit,
wish,uh
wish,probably
wish,wish
wish,little
wish,skinnier
wish,this,
wish,girdle's
wish,pretty
wish,tight
wish,*laughter*
wish,um,
wish,know
wish,sometimes
wish,wish
wish,money
wish,but,
wish,nothing
wish,drastic,
wish,i'm
wish,okay
could,um
could,wish
could,i,
could,uh
could,probably
could,wish
could,looked
could,better
could,wish
could,hair
could,mm
could,losing
could,little
could,bit,
could,uh
could,probably
could,wish
could,little
could,skinnier
could,this,
could,girdle's
could,pretty
could,tight
could,*laughter*
could,um,
could,know
could,sometimes
could,wish
could,money
could,but,
could,nothing
could,drastic,
could,i'm
could,okay
change,um
change,wish
change,i,
change,uh
change,probably
change,wish
change,looked
change,better
change,wish
change,hair
change,mm
change,losing
change,little
change,bit,
change,uh
change,probably
change,wish
change,little
change,skinnier
change,this,
change,girdle's
change,pretty
change,tight
change,*laughter*
change,um,
change,know
change,sometimes
change,wish
change,money
change,but,
change,nothing
change,drastic,
change,i'm
change,okay
um,okay
wish,okay
i,,okay
uh,okay
probably,okay
wish,okay
looked,okay
better,okay
wish,okay
hair,okay
mm,okay
losing,okay
little,okay
bit,,okay
uh,okay
probably,okay
wish,okay
little,okay
skinnier,okay
this,,okay
girdle's,okay
pretty,okay
tight,okay
*laughter*,okay
um,,okay
know,okay
sometimes,okay
wish,okay
money,okay
but,,okay
nothing,okay
drastic,,okay
i'm,okay
okay,okay
okay,yeah
yeah,tell
yeah,time
yeah,someone
yeah,made
yeah,feel
yeah,really
yeah,badly
tell,oh
tell,um,
tell,mm
tell,hmm
tell,little
tell,kid,
tell,uh
tell,fat
tell,fat
tell,kid,
tell,um,
tell,gosh
tell,remember
tell,like
tell,going
tell,high
tell,school,
tell,like
tell,second
tell,day,
tell,remember
tell,guy
tell,came
tell,was,
tell,um,
tell,like
tell,like
tell,pretty
tell,nice
tell,thought,
tell,realize
tell,he'd,
tell,like
tell,like
tell,movie
tell,right
tell,like
tell,put
tell,bandaids
tell,back
tell,said
tell,like
tell,i'm
tell,fat
tell,cow,
tell,said
tell,like
tell,uh
tell,like,
tell,yeah,
tell,like
tell,bunch
tell,mean
tell,stuff
tell,know
tell,walked
tell,around
tell,like
tell,half
tell,hour
tell,heard
tell,people
tell,laughing
tell,get
tell,finally
tell,girl
tell,came
tell,like
tell,hey,
tell,there's
tell,like
tell,bandaids
tell,back
tell,say
tell,mean
tell,thing
tell,walked
tell,away
tell,like
tell,help
tell,take
tell,'em
tell,off,
tell,remember
tell,like
tell,get
tell,'em
tell,trying
tell,find
tell,'em
tell,then,
tell,um,
tell,remember
tell,like
tell,putting
tell,head
tell,locker
tell,like,
tell,want
tell,anyone
tell,see
tell,cry
tell,like
tell,put
tell,head
tell,locker,
tell,like
tell,pretended
tell,like
tell,looking
tell,stuff
tell,backpack
tell,really
tell,know,
tell,cry
tell,fat
tell,kid
tell,get
tell,mean
tell,sticker
tell,back
time,oh
time,um,
time,mm
time,hmm
time,little
time,kid,
time,uh
time,fat
time,fat
time,kid,
time,um,
time,gosh
time,remember
time,like
time,going
time,high
time,school,
time,like
time,second
time,day,
time,remember
time,guy
time,came
time,was,
time,um,
time,like
time,like
time,pretty
time,nice
time,thought,
time,realize
time,he'd,
time,like
time,like
time,movie
time,right
time,like
time,put
time,bandaids
time,back
time,said
time,like
time,i'm
time,fat
time,cow,
time,said
time,like
time,uh
time,like,
time,yeah,
time,like
time,bunch
time,mean
time,stuff
time,know
time,walked
time,around
time,like
time,half
time,hour
time,heard
time,people
time,laughing
time,get
time,finally
time,girl
time,came
time,like
time,hey,
time,there's
time,like
time,bandaids
time,back
time,say
time,mean
time,thing
time,walked
time,away
time,like
time,help
time,take
time,'em
time,off,
time,remember
time,like
time,get
time,'em
time,trying
time,find
time,'em
time,then,
time,um,
time,remember
time,like
time,putting
time,head
time,locker
time,like,
time,want
time,anyone
time,see
time,cry
time,like
time,put
time,head
time,locker,
time,like
time,pretended
time,like
time,looking
time,stuff
time,backpack
time,really
time,know,
time,cry
time,fat
time,kid
time,get
time,mean
time,sticker
time,back
someone,oh
someone,um,
someone,mm
someone,hmm
someone,little
someone,kid,
someone,uh
someone,fat
someone,fat
someone,kid,
someone,um,
someone,gosh
someone,remember
someone,like
someone,going
someone,high
someone,school,
someone,like
someone,second
someone,day,
someone,remember
someone,guy
someone,came
someone,was,
someone,um,
someone,like
someone,like
someone,pretty
someone,nice
someone,thought,
someone,realize
someone,he'd,
someone,like
someone,like
someone,movie
someone,right
someone,like
someone,put
someone,bandaids
someone,back
someone,said
someone,like
someone,i'm
someone,fat
someone,cow,
someone,said
someone,like
someone,uh
someone,like,
someone,yeah,
someone,like
someone,bunch
someone,mean
someone,stuff
someone,know
someone,walked
someone,around
someone,like
someone,half
someone,hour
someone,heard
someone,people
someone,laughing
someone,get
someone,finally
someone,girl
someone,came
someone,like
someone,hey,
someone,there's
someone,like
someone,bandaids
someone,back
someone,say
someone,mean
someone,thing
someone,walked
someone,away
someone,like
someone,help
someone,take
someone,'em
someone,off,
someone,remember
someone,like
someone,get
someone,'em
someone,trying
someone,find
someone,'em
someone,then,
someone,um,
someone,remember
someone,like
someone,putting
someone,head
someone,locker
someone,like,
someone,want
someone,anyone
someone,see
someone,cry
someone,like
someone,put
someone,head
someone,locker,
someone,like
someone,pretended
someone,like
someone,looking
someone,stuff
someone,backpack
someone,really
someone,know,
someone,cry
someone,fat
someone,kid
someone,get
someone,mean
someone,sticker
someone,back
made,oh
made,um,
made,mm
made,hmm
made,little
made,kid,
made,uh
made,fat
made,fat
made,kid,
made,um,
